Temps,Deplacement
0.000153367171061208,8.88332772719247e-06
0.000346689790245591,6.17960226979469e-06
0.00095332619406086,-9.17334346146232e-07
0.00215333587443616,5.5209634552368e-06
0.00255326768580011,-1.03596207645186e-05
0.00274667080364446,8.98332309439787e-06
0.00335329802263394,2.53100202867004e-06
0.00455324977094065,-1.66000079356288e-07
0.00495322148889838,-3.58844250465447e-06
0.00514655485041581,-1.53627687292261e-06
0.00575323491748571,8.89672582579637e-06
0.00695317395697399,8.90383204214323e-06
0.00735314749867704,7.96929040569109e-06
0.00754645227686151,3.50966843022395e-06
0.00815310256282189,9.19486593132928e-06
0.00935299808944313,3.84070048602291e-06
0.00975294674347574,-1.5995930380835e-06
0.00994625422267705,-4.38045547339238e-06
0.0105528502816934,-9.84393497025292e-06
0.0117527751439009,-1.48664233077962e-06
0.0121527647805051,5.81349600392758e-06
0.0123460523720021,-1.20287047967668e-06
0.0129526265229205,-9.35364098256934e-06
0.0141525426994031,2.76039383902977e-06
0.0145525052404577,4.97647906233174e-06
0.0147458126149236,4.11135378534314e-06
0.0153523580165625,-8.51821955857818e-06
0.0165522563721881,4.96047519057128e-06
0.0169521691691656,-3.8379828993245e-06
0.0171455252760576,9.0282897018992e-06
0.0177520760806371,8.61874856029569e-07
0.0189518874409399,-2.40757274670494e-06
0.019351810809516,-6.42808972404034e-06
0.0195451679346445,7.67656754433569e-06
0.0201517303847862,5.60784819604625e-06
0.0213514831016501,-6.98699662467111e-06
0.0217514519318603,2.90627986416548e-06
0.0219447639515135,6.17205149203365e-06
0.0225513084538841,2.45217048170082e-06
0.0237510703244868,-1.71622574691752e-06
0.0241509883619366,-3.11291416254215e-06
0.0243442849621256,-2.91322602092685e-06
0.0249508522957225,2.39350242376915e-06
0.0261506311108061,8.69160510733888e-06
0.02655047896834,-9.07220237678291e-06
0.0267437967755428,-2.34794254096676e-06
0.0273503440422092,7.52449630880527e-07
0.0285500450618009,-7.29144094862086e-06
0.0289499658153552,-3.95733763507868e-06
0.0291432745078567,1.35166448346766e-06
0.0297497968532478,9.7430196473395e-07
0.0309495074936666,1.47874384614705e-06
0.0313493632634332,-1.01943633049644e-05
0.0315426618259432,-6.566628458659e-06
0.0321491729156053,-6.84355431676408e-06
0.0333488981870346,3.52113138254608e-06
0.0337487842290194,1.78479952341788e-06
0.0339420380866233,-5.32296976238994e-06
0.0345485881445087,7.65264151505421e-06
0.0357482376757456,4.21193062544247e-06
0.0361481216369898,3.94019753268409e-06
0.0363413543808971,-7.72560021553433e-06
0.0369478722097073,-1.42050079659478e-07
0.0381474922186768,-5.28573105703004e-06
0.0385473664230801,-6.1031792394488e-06
0.0387406453009835,-4.71639489137678e-06
0.0393471467026233,1.61296830661311e-06
0.040546767628372,2.73749970298516e-06
0.0409466537416297,7.04818723584056e-06
0.0411399243991854,7.25342199589935e-06
0.0417463618566934,-1.15642970765065e-07
0.0429459835328944,7.23340179582079e-06
0.0433458416505846,6.22171528247247e-06
0.0435390766949121,-1.92866629333344e-06
0.0441455527166365,3.84913087609664e-06
0.0453450725068132,-9.45727287845813e-06
0.0457450027870084,1.0439193155078e-05
0.0459382555881797,7.91021831039724e-06
0.04654468811804,5.34506736128352e-06
0.0477442178701565,6.74964735314197e-07
0.0481440614365019,-1.29389018615593e-07
0.0483373416993096,5.5048643938092e-06
0.0489437223810154,-7.59230737540302e-06
0.0501432411543903,-9.11073098646358e-06
0.0505431074360586,-1.95680764342267e-06
0.0507363755903804,1.47731669763904e-06
0.0513427983744894,2.45382565043813e-06
0.052542326533747,9.42077984287834e-06
0.0529421624675689,1.06354677557042e-05
0.0531353843787967,2.92912009440625e-06
0.0537417638766852,-4.38459471113691e-06
0.0549412183814628,-1.06819288707835e-05
0.0553410986068683,4.14227240786642e-06
0.0555343444274118,3.66895635864407e-06
0.0561407019772826,-6.34664263659615e-06
0.0573401594918422,-5.82921045178727e-06
0.0577400129487273,3.9929016438604e-06
0.0579332406341118,-2.59465890048765e-07
0.0585396136548573,-3.17641508048633e-06
0.0597390627476273,1.16153845022627e-06
0.060138898001314,8.22473744591279e-06
0.0603321176380783,2.83504755558197e-06
0.0609384776429372,-4.44579827739811e-07
0.0621379008388551,3.13646130832606e-06
0.0625377035552062,3.68596005438065e-06
0.0627309351759938,2.4059995291145e-06
0.0633372897333786,7.45896361491355e-07
0.0645366474104273,-6.80874100647851e-06
0.0649364886849734,5.84909135148575e-06
0.0651296785999534,-5.38431721663553e-06
0.0657360286527547,-5.178062340086e-06
0.0669354396229615,7.25234596133178e-06
0.0673352271823655,7.84882320528796e-06
0.0675284566793125,7.95411394156335e-06
0.0681347672669462,8.69081813771642e-07
0.0693340869376949,-4.5901791849449e-06
0.0697338668002732,-4.00143386270521e-06
0.0699271151784814,2.02044897989814e-06
0.0705334620665127,7.49014580002136e-06
0.0717327706982867,5.16439135318501e-06
0.0721324967599511,-6.33162752721502e-06
0.0723257115281831,-8.14308720662019e-06
0.0729320778252189,5.45688679494946e-06
0.0741313399034254,-3.03888922992539e-06
0.0745311510761816,9.76845497455567e-06
0.074724312059903,-5.16150852845511e-06
0.0753306429085718,2.19866631517554e-06
0.0765299406972897,9.08214448376206e-06
0.076929640360178,-5.31319159458561e-06
0.0771228883504947,3.51948824496189e-06
0.0777291617334028,-1.12825428977933e-06
0.0789283939816649,-5.3894470746065e-06
0.0793281267722421,-9.09865658219551e-06
0.0795213419756302,-7.88427854458848e-06
0.0801276459165364,-1.48132876073816e-06
0.0813268854625048,2.19344874521551e-06
0.0817266220032636,1.47469043824749e-06
0.0819198227999692,-1.14469455496551e-07
0.0825260755121219,-4.08633895910647e-06
0.0837253000027041,1.66839899181953e-06
0.0841249901295845,-9.20169746877397e-06
0.0843181932026712,-9.22402479676052e-06
0.0849244908175592,1.61288807939123e-06
0.0861236471368149,-4.46790838484025e-06
0.0865233476679692,-1.06046045150172e-05
0.0867166105121158,6.00243202006383e-06
0.0873228417931862,2.50663712042885e-06
0.0885219666227459,-5.80050579391361e-06
0.0889217344041631,7.68910779321675e-06
0.0891149367055477,9.40557321228879e-06
0.0897211255321698,-2.16762122912083e-06
0.090920264952575,-6.28958302399115e-07
0.0913199630356671,-3.39163044959682e-06
0.0915131696507139,4.25404876271896e-07
0.0921193627712142,-6.97803828540301e-06
0.0933185272221708,7.14160302405114e-06
0.093718183728541,-4.50633947156895e-06
0.0939114247436233,9.29381078062268e-06
0.094517638360443,1.03051969050703e-05
0.0957167057804406,5.02606559364205e-06
0.0961164091890517,7.67391059973662e-06
0.09630954004194,-6.41794064950455e-06
0.096915747939937,-3.86013303840905e-06
0.0981148333099811,1.58616654102292e-06
0.0985145378502538,6.53807007205355e-06
0.0987077055958817,3.08236886523126e-06
0.0993138740961639,-1.63750989133826e-06
0.100512956456404,9.04274212953564e-06
0.100912624799953,6.51827583990554e-06
0.101105767584699,-2.50725524217232e-06
0.101711938561374,-3.53381847815924e-06
0.102910933733665,-9.67572439782342e-06
0.103310631960651,-2.36299556361911e-06
0.103503797192157,-4.53708319586091e-06
0.104109976133041,-4.32433723455353e-07
0.105308953439069,-5.23378293699338e-06
0.105708636033162,-9.75135304182615e-09
0.105901818372126,3.26882276293079e-06
0.106507955329672,-5.82625881818174e-07
0.107706894915362,-9.24600287435945e-06
0.108106601782601,4.34551646838344e-06
0.108299716267193,-9.18531267739319e-06
0.108905907215514,4.15441009360902e-06
0.110104859389844,4.81102367851335e-06
0.110504477981356,-2.72097845349919e-06
0.110697625017479,-6.75244753673772e-06
0.111303809555236,7.95188760997971e-06
0.112502672125506,-8.84957798044136e-06
0.112902338083002,-1.96311739846729e-06
0.113095511007373,1.75906545395946e-06
0.113701603879677,-4.51205022808977e-06
0.114900513113744,-3.06513331436794e-06
0.115300131656589,-6.59611444950262e-06
0.115493336174568,6.37499782405821e-06
0.116099378760202,-1.00295722116061e-05
0.117298290654511,-1.8647618812348e-06
0.117697924198178,5.42000094605416e-07
0.117891097277929,6.24509837385589e-06
0.118497161065481,-1.56009752090311e-06
0.11969603748049,3.32817483777222e-06
0.120095652195587,2.80778322755388e-06
0.120288783311963,-1.51559302172528e-06
0.120894843436951,-7.23710576374578e-06
0.122093664977114,-1.0708670030383e-05
0.122493349466268,9.06233628395724e-06
0.122686426458443,-8.47478221914584e-06
0.123292541682263,3.2861719220831e-06
0.124491336979042,-1.0425823013597e-06
0.124890941327795,-2.66159672878375e-07
0.125084084905885,6.1585547067429e-07
0.125690108064884,-8.70624071792479e-06
0.126888912854224,-4.52763497722359e-06
0.127288492742182,-8.15494917345261e-06
0.127481634396008,-6.80736989632686e-06
0.128087675006522,-8.51289697180099e-06
0.129286504239393,8.09137289734141e-06
0.129686071516689,3.16566129589858e-06
